ad,tur,sehir,website,logo,adres
GALATASARAY ÜNİVERSİTESİ,Devlet,İstanbul,http://www.gsu.edu.tr,assets/img/logo/111395.png,Galatasaray Üniversitesi Çırağan Cad. No:36 34349 Ortaköy/İstanbul
GAZİ ÜNİVERSİTESİ,Devlet,Ankara,http://gazi.edu.tr/,assets/img/logo/133520.png,Gazi Üniversitesi Rektörlüğü 06500 Teknikokullar / Ankara
GAZİANTEP İSLAM BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,Devlet,Gaziantep,http://www.gibtu.edu.tr/,assets/img/logo/384577.png,Beştepe Mah. 192090 Nolu Cadde 6/1 27010 Şahinbey/Gaziantep
GAZİANTEP ÜNİVERSİTESİ,Devlet,Gaziantep,http://www.gantep.edu.tr,assets/img/logo/112080.png,GAZİANTEP ÜNİVERSİTESİ REKTÖRLÜĞÜ
GEBZE TEKNİK ÜNİVERSİTESİ,Devlet,Kocaeli,https://www.gtu.edu.tr,assets/img/logo/260621.png,Gebze Teknik Üniversitesi Rektörlüğü Cumhuriyet Mah. 2254 Sok. No:2 Gebze/KOCAELİ
GİRESUN ÜNİVERSİTESİ,Devlet,Giresun,http://www.giresun.edu.tr/,assets/img/logo/112836.png,Giresun Üniversitesi | Giresun
GÜMÜŞHANE ÜNİVERSİTESİ,Devlet,Gümüşhane,http://www.gumushane.edu.tr,assets/img/logo/113023.png,"Gümüşhane Üniversitesi Rektörlüğü
Bağlarbaşı Mh.
29000, Merkez/GÜMÜŞHANE"
HACETTEPE ÜNİVERSİTESİ,Devlet,Ankara,http://hacettepe.edu.tr,assets/img/logo/113082.png,Hacettepe Üniversitesi Rektörlüğü Sıhhıye/ANKARA
HAKKARİ ÜNİVERSİTESİ,Devlet,Hakkari,https://www.hakkari.edu.tr / www.hu.edu.tr,assets/img/logo/113681.png,Merzan Mah. Küçük Sanayi Sitesi arkası Merkez/HAKKARİ
HALİÇ ÜNİVERSİTESİ,Vakıf,İstanbul,https://www.halic.edu.tr,assets/img/logo/113699.png,"Sütlüce Mahallesi, İmrahor Caddesi, No:11, Beyoğlu, istanbul"
HARRAN ÜNİVERSİTESİ,Devlet,Şanlıurfa,http://www.harran.edu.tr/,assets/img/logo/113746.png,Harran Üniversitesi Rektörlüğü Osmanbey Kampüsü Şanlıurfa
HASAN KALYONCU ÜNİVERSİTESİ,Vakıf,Gaziantep,https://www.hku.edu.tr,assets/img/logo/138586.png,Yeşilkent Mah. Havalimanı Yolu üzeri 8.km Şahinbey/GAZİANTEP
HATAY MUSTAFA KEMAL ÜNİVERSİTESİ,Devlet,Hatay,http://www.mku.edu.tr,assets/img/logo/367208.png,Alahan Tayfur Sökmen Kampüsü Dış kapı no:35 Adres No:3330417886 Alahan/Antakya/Hatay
HİTİT ÜNİVERSİTESİ,Devlet,Çorum,http://www.hitit.edu.tr/,assets/img/logo/114218.png,Hitit Üniversitesi Kuzey Kampüsü Çevre Yolu Bulvarı PK:19030 ÇORUM
IĞDIR ÜNİVERSİTESİ,Devlet,Iğdır,http://www.igdir.edu.tr,assets/img/logo/114315.png,Şehit Bülent Yurtseven Kampüsü/ IĞDIR
ISPARTA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,Devlet,Isparta,https://isparta.edu.tr/,assets/img/logo/339998.png,"Isparta uygulamalı Bilimler Üniversitesi Rektörlüğü, Bahçelievler Mah., 102. Cad., No:24, 32200, ISPARTA"
IŞIK ÜNİVERSİTESİ,Vakıf,İstanbul,http://www.isikun.edu.tr/,assets/img/logo/114385.png,"Işık Üniversitesi, Meşrutiyet Köyü, Üniversitesi Sok. No:2 ŞİLE/İSTANBUL"
